Set,Price_Euro,Pieces,Minifigs
Colour & Distance Sensor,13.99,1,
Medium Linear Motor,16.99,1,
Train Motor,13.99,7,
Garmadon,,10,
Garmadon,,10,
Wu,,1,
Wu,,1,
Kai vs. Wyplash,,13,
Kai vs. Wyplash,,13,
Jay Vs. Lasha,,12,
Jay vs. Lasha,,12,
Baby Raptor,,33,
Owen with Baby Raptor,,7,
Batman with Batarang,,7,
Robin,,7,
Superman,,8,
The Flash,,6,
Joker,,9,
Batman,,6,
Show Jump,,34,
Emmet with Tools,,9,
Rex with Jetpack,,0,
Emma's Kitty Chico,,22,
Shop with Costumes,,30,
Sweet Baby,,15,
Bear's Cave,,22,
Andrea's Booth with Waffles,,29,
Robot on paddleboard,,18,
Ice Cream Parlour,,38,
Andrea's Stage,,21,
Stephanie's Puppy Dash,,20,
Halloween Store,,15,
Olivia's Bakery,,38,
Jack,,8,
Possessed Pizza Delivery Man,,6,
Parker,,6,
TLM2 Accessory Set 2019,12.99,48,
Oni Battle Pack,12.99,36,
Emmet Key Chain,4.86,0,
Lucy Key Chain,4.99,0,
Emmet's Construction Worker Vest,14.99,0,
Batarang,7.79,0,
Flail,,0,
Emmet Mask,9.99,0,
Lucy Hair,4.99,0,
Emmet Pod,8.99,27,
Sweet Mayhem's Disco Pod,8.76,28,
TLM2 Tumbler with Straw,7.99,0,
TLM2 Hydration Bottle,12.99,0,
TLM2 Notebook,12.99,0,
Emmet Plush,24.99,0,
Lucy Plush,24.36,0,
Friends Creative Bag Charms,5.99,0,
Stephanie Key Chain,4.99,0,
Olivia Key Chain,4.99,0,
Friends Phone Cover,24.99,0,
Friends Tumbler with Straw,7.79,0,
Cookie Cutters,9.74,0,
LEGO Friends Ceramic Mug,14.99,0,
LEGO Friends Hair Accessory Set,9.99,0,
Jay Keyring,4.86,0,
Nya Keyring,4.86,0,
Lloyd's Kendo Training Pod,8.99,25,
4 4x4 Magnets,7.79,0,
NINJAGO Tumbler with Straw,7.99,0,
Creative Bag Charm,5.99,0,
Brick Suit Guy Key Chain,4.86,0,
Cactus Boy Key Chain,5.99,0,
Elephant Girl Key Chain,4.99,0,
LEGO Greeting Card,4.99,40,
LEGO Toy Soldier Ornament,7.99,43,
Drinking cup,,0,
LEGO® Minifigure Ceramic Mug,14.99,0,
LEGO Brick Ice Cube Tray,9.74,0,
Ice Lollipop Tray,,0,
LEGO Key Hanger,9.74,0,
London Bus Magnet,9.99,0,
4 4x4 Magnets,7.79,0,
Creative Stationery Set,16.99,0,
City Firefighter Key Chain,4.99,0,
City Police Vest,,0,
LEGO DUPLO Tableware,14.61,0,
Brick Stickers,5.99,17,
Creative Rings,,43,
Stormtrooper Keyring,5.99,0,
Luke Skywalker Key Chain,4.99,0,
Princess Leia Key Chain,4.99,0,
Kylo Ren Key Chain,4.86,0,
Spider Man Key Chain,5.99,0,
Batman Key Chain,5.99,0,
Superman Key Chain,5.99,0,
Batwoman Key Chain,5.99,0,
Ariel Key Chain,4.99,0,
Aurora Key Chain,4.99,0,
Creeper Key Chain,4.99,0,
Chicken Skater Pod,,36,
2x6 Key Chain,4.99,0,
TLM2 Stop Sign Shield,15.99,0,
Wooden Minifigure,116.97,0,
"Wooden Minifigure, Colette Mon Amour Edition",,0,
Elsa Key Chain,5.99,0,
Anna Key Chain,5.99,0,
Olaf Key Chain,4.99,0,
Minifigure Factory Box,,0,
Young Wu,,9,
Jay,,8,
Heavy Metal,,11,
Iron Baron,,7,
Lloyd,,10,
Daddy No Legs,,28,
Nya,,9,
Blizzard Samurai,,9,
Cole,,14,
Pyro Whipper,,8,
Kai,,10,
Blizzard Samurai,,8,
